Title,Artist,Year,Genre,Popularity,Formatted_Artist,Formatted_Title
Here We Go Again,The Neighbourhood,2020,rock,53,the_neighbourhood,here_we_go_again
Glory,The Score,2020,rock,56,the_score,glory
Ceremony,Deftones,2020,rock,58,deftones,ceremony
Это пройдёт,Pornofilmy,2020,rock,47,pornofilmy,_
секунду назад,Nochnye Snaipery,2020,rock,47,nochnye_snaipery,_
Black - Live MTV Unplugged,Pearl Jam,2020,rock,60,pearl_jam,black_live_mtv_unplugged
Unperson,Nothing But Thieves,2020,rock,49,nothing_but_thieves,unperson
I See Red,Everybody Loves an Outlaw,2020,rock,50,everybody_loves_an_outlaw,i_see_red
Momentary Bliss (feat. slowthai and Slaves),Gorillaz,2020,rock,56,gorillaz,momentary_bliss_feat_slowthai_and_slaves
Pac-Man (feat. ScHoolboy Q),Gorillaz,2020,rock,57,gorillaz,pacman_feat_schoolboy_q
Funnel Of Love,Wanda Jackson,2020,rock,54,wanda_jackson,funnel_of_love
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,2020,rock,62,bee_gees,night_fever_from_saturday_night_fever_soundtrack
One More Year,Tame Impala,2020,rock,57,tame_impala,one_more_year
Obey (with YUNGBLUD),Bring Me The Horizon,2020,rock,53,bring_me_the_horizon,obey_with_yungblud
Instant Destiny,Tame Impala,2020,rock,57,tame_impala,instant_destiny
Anxiety,Palaye Royale,2020,rock,48,palaye_royale,anxiety
She's A Rainbow,The Rolling Stones,2020,rock,61,the_rolling_stones,shes_a_rainbow
ポラリス,BLUE ENCOUNT,2020,rock,63,blue_encount,
Genesis,Deftones,2020,rock,58,deftones,genesis
This is Our Life,Des Rocs,2020,rock,49,des_rocs,this_is_our_life
cotton candy,YUNGBLUD,2020,rock,54,yungblud,cotton_candy
Kick You When You're Down,AC/DC,2020,rock,53,acdc,kick_you_when_youre_down
Вояджер-1,Noize MC,2020,rock,45,noize_mc,1
Syntynyt suruun ja puettu pettymyksin,Maustetytöt,2020,rock,41,maustetytot,syntynyt_suruun_ja_puettu_pettymyksin
The Valley of The Pagans (feat. Beck),Gorillaz,2020,rock,55,gorillaz,the_valley_of_the_pagans_feat_beck
Brooklyn Bridge To Chorus,The Strokes,2020,rock,62,the_strokes,brooklyn_bridge_to_chorus
BBY,Two Feet,2020,rock,49,two_feet,bby
What It Takes,Adelitas Way,2020,rock,56,adelitas_way,what_it_takes
Silver Lining,The Neighbourhood,2020,rock,53,the_neighbourhood,silver_lining
Carry On,The Score,2020,rock,52,the_score,carry_on
Waterfalls Coming Out Your Mouth,Glass Animals,2020,rock,57,glass_animals,waterfalls_coming_out_your_mouth
Fucking With My Head,Palaye Royale,2020,rock,46,palaye_royale,fucking_with_my_head
How Deep Is Your Love,Bee Gees,2020,rock,61,bee_gees,how_deep_is_your_love
Patience,Chris Cornell,2020,rock,58,chris_cornell,patience
Ordinary Man (feat. Elton John),Ozzy Osbourne,2020,rock,53,ozzy_osbourne,ordinary_man_feat_elton_john
Phobia,Nothing But Thieves,2020,rock,48,nothing_but_thieves,phobia
Better Days,OneRepublic,2020,rock,55,onerepublic,better_days
"god save me, but don't drown me out",YUNGBLUD,2020,rock,52,yungblud,god_save_me_but_dont_drown_me_out
"Eat, Sleep, Wake (Nothing But You)",Bombay Bicycle Club,2020,rock,56,bombay_bicycle_club,eat_sleep_wake_nothing_but_you
I Don't Wanna Be Me,Type O Negative,2020,rock,42,type_o_negative,i_dont_wanna_be_me
Désolé (feat. Fatoumata Diawara) - Extended Version,Gorillaz,2020,rock,54,gorillaz,desole_feat_fatoumata_diawara_extended_version
Hell and Back,Self Deception,2020,rock,54,self_deception,hell_and_back
Through The Mists Of Time,AC/DC,2020,rock,51,acdc,through_the_mists_of_time
Realize,AC/DC,2020,rock,50,acdc,realize
Can You Afford to Be An Individual?,Nothing But Thieves,2020,rock,49,nothing_but_thieves,can_you_afford_to_be_an_individual
Nothing Personal,Des Rocs,2020,rock,46,des_rocs,nothing_personal
The Divine Chord,The Avalanches,2020,rock,56,the_avalanches,the_divine_chord
Riptide,grandson,2020,rock,49,grandson,riptide
It Might Be Time,Tame Impala,2020,rock,56,tame_impala,it_might_be_time
The Journey Starts Today (Theme from Pokémon Journeys),Walk off the Earth,2020,rock,56,walk_off_the_earth,the_journey_starts_today_theme_from_pokemon_journeys
Sympathy For The Devil,Guns N' Roses,2020,rock,55,guns_n_roses,sympathy_for_the_devil
Everlasting Light,The Black Keys,2020,rock,52,the_black_keys,everlasting_light
Vampire,Dominic Fike,2020,rock,61,dominic_fike,vampire
Brightside,Arrested Youth,2020,rock,53,arrested_youth,brightside
Free If We Want It,Nothing But Thieves,2020,rock,46,nothing_but_thieves,free_if_we_want_it
Grey,Two Feet,2020,rock,46,two_feet,grey
In the End,Linkin Park,2020,rock,49,linkin_park,in_the_end
Тиша,Fiolet,2020,rock,43,fiolet,
Bad Decisions,The Strokes,2020,rock,61,the_strokes,bad_decisions
The Children of Coyote Woman,All Them Witches,2020,rock,48,all_them_witches,the_children_of_coyote_woman
Wurli,Dominic Fike,2020,rock,60,dominic_fike,wurli
Go West,Pet Shop Boys,2020,rock,52,pet_shop_boys,go_west
Headless,Deftones,2020,rock,55,deftones,headless
Urantia,Deftones,2020,rock,54,deftones,urantia
A Partir De Hoy,David Bisbal,2020,rock,69,david_bisbal,a_partir_de_hoy
Robbery,Lime Cordiale,2020,rock,62,lime_cordiale,robbery
Good Morning World!,BURNOUT SYNDROMES,2020,rock,57,burnout_syndromes,good_morning_world
Aries (feat. Peter Hook and Georgia),Gorillaz,2020,rock,54,gorillaz,aries_feat_peter_hook_and_georgia
Scars that I'm Hiding,From Ashes to New,2020,rock,54,from_ashes_to_new,scars_that_im_hiding
The Champion,The Score,2020,rock,52,the_score,the_champion
It’s All So Incredibly Loud,Glass Animals,2020,rock,52,glass_animals,its_all_so_incredibly_loud
If You’re Too Shy (Let Me Know),The 1975,2020,rock,63,the_1975,if_youre_too_shy_let_me_know
Vans - King Kavalier Remix,Arrested Youth,2020,rock,46,arrested_youth,vans_king_kavalier_remix
At The Door,The Strokes,2020,rock,58,the_strokes,at_the_door
баночка с окурками,КОСМОНАВТОВ НЕТ,2020,rock,45,_,_
Lost Horse,Asaf Avidan,2020,rock,51,asaf_avidan,lost_horse
xXXi_wud_nvrstøp_ÜXXx (Remix) [feat. Tommy Cash & Hannah Diamond],100 gecs,2020,rock,44,100_gecs,xxxi_wud_nvrstp_uxxx_remix_feat_tommy_cash_hannah_diamond
Moral Panic,Nothing But Thieves,2020,rock,45,nothing_but_thieves,moral_panic
Hot Sugar,Glass Animals,2020,rock,54,glass_animals,hot_sugar
