Title,Artist,Year,Genre,Popularity
Козаки,Тінь Сонця,2020,rock,37
неторопливая любовь,Nochnye Snaipery,2020,rock,40
Si Tú La Quieres,David Bisbal,2020,rock,64
Персефона,Vivienne Mort,2020,rock,37
A Hero's Death,Fontaines D.C.,2020,rock,51
Conticinio,Guitarricadelafuente,2020,rock,58
"Передайте это Гарри Поттеру, если вдруг его встретите",Splean,2020,rock,36
"Liar, Liar",The Castaways,2020,rock,43
Me & You Together Song,The 1975,2020,rock,56
Chicken Tenders,Dominic Fike,2020,rock,55
Blizzard,Erdling,2020,rock,41
A Lucid Dream,Fontaines D.C.,2020,rock,49
Атака Мертвецов,RADIO TAPOK,2020,rock,37
Пятница,Дела Поважнее,2020,rock,40
За семью печатями,Splean,2020,rock,36
Я делаю шаг,The Hatters,2020,rock,39
You Said,Fontaines D.C.,2020,rock,47
Four Out Of Five - Live,Arctic Monkeys,2020,rock,43
"Today, Tomorrow and Forever",Sanctus Real,2020,rock,56
Why'd You Only Call Me When You're High? - Live,Arctic Monkeys,2020,rock,43
Oh Such A Spring,Fontaines D.C.,2020,rock,46
Nothing Compares 2 U,Chris Cornell,2020,rock,51
On Fire,THE ROOP,2020,rock,37
Ночные Ведьмы,RADIO TAPOK,2020,rock,37
Офелія,Лівінстон,2020,rock,36
The Rush,JJ Wilde,2020,rock,43
Booster Seat,Spacey Jane,2020,rock,65
We Could Start a War - EP Version,Somebody's Child,2020,rock,51
Кохання,Pianoboy,2020,rock,36
Сказки,Дайте танк (!),2020,rock,38
Memory I Don't Mess With,Lee Brice,2020,rock,70
On The Road Again - Live,Willie Nelson,2020,rock,57
My Own Soul’s Warning,The Killers,2020,rock,55
505 - Live,Arctic Monkeys,2020,rock,43
МЯТОЙ (Remix 2010),КОСМОНАВТОВ НЕТ,2020,rock,37
"1,000,000 TIMES feat. chelly (EGOIST)",MY FIRST STORY,2020,rock,50
Comment est ta peine ?,Benjamin Biolay,2020,rock,48
Tonight (Mousse T. Remix),Simply Red,2020,rock,45
VENT'ANNI,Måneskin,2020,rock,45
"If You Want To Sing Out, Sing Out",Yusuf / Cat Stevens,2020,rock,57
Crying Lightning - Live,Arctic Monkeys,2020,rock,42
Klámstrákur,Hatari,2020,rock,32
Caffeine,Kiro Akiyama,2020,rock,54
Бардак,Дайте танк (!),2020,rock,37
Закохані злодії,Kozak System,2020,rock,35
circle the drain,Soccer Mommy,2020,rock,55
Altüst Olmuşum,Mavi Gri,2020,rock,69
1999,NO CIGAR,2020,rock,54
Чорний Мольфар,Цвях,2020,rock,35
Knee Socks - Live,Arctic Monkeys,2020,rock,41
Ісус Із Назарета,Лінія Маннергейма,2020,rock,36
ないものねだり - Revenge THE FIRST TAKE,KANA-BOON,2020,rock,51
ゴールデンタイムラバー - 2020 Remaster,Sukima Switch,2020,rock,52
再会 (produced by Ayase),LiSA,2020,rock,59
"Така, як літо",Kozak System,2020,rock,34
Монстр,RADIO TAPOK,2020,rock,34
決戦スピリット,CHiCO with HoneyWorks,2020,rock,55
Your Girlfriend,Blossoms,2020,rock,57
Министр культуры,Голос Омерики,2020,rock,34
Guys,The 1975,2020,rock,52
Body Like A Back Road,Sam Hunt,2020,rock,70
NAN CHUN,SE SO NEON,2020,rock,55
Дыхаем зноў,J:МОРС,2020,rock,23
Sometimes,Kodaline,2020,rock,45
The Devil Went Down to Georgia,Nickelback,2020,rock,54
Ya No Mires Atrás,Luis Alberto Spinetta,2020,rock,51
Tonight (I Wish I Was Your Boy),The 1975,2020,rock,53
Pure 90 (Rapping Queen),Shaka Ponk,2020,rock,45
SPARK-AGAIN,Aimer,2020,rock,51
Помаленьку,Пирятин,2020,rock,34
Ding,Feuerschwanz,2020,rock,46
Moments / Tides,Goth Babe,2020,rock,55
Гора,The Hardkiss,2020,rock,32
There Is Still Pain Left - Laolu Remix,Sophie Hunger,2020,rock,46
Готика,Vivienne Mort,2020,rock,34
さよならごっこ,amazarashi,2020,rock,47
Only Children,Jason Isbell and the 400 Unit,2020,rock,49
L'hymne de nos campagnes 2019,Tryo,2020,rock,48
Left Me Like Summer,Daily J,2020,rock,55
Sonne,RADIO TAPOK,2020,rock,33
Нас догонит любовь,Pornofilmy,2020,rock,33
Arabella - Live,Arctic Monkeys,2020,rock,40
Окситоцин,Ницо Потворно,2020,rock,34
Владивосток 2000,Mumiy Troll,2020,rock,34
Maybe It's Ok,We Are Messengers,2020,rock,62
How Lucky,Kurt Vile,2020,rock,52
The Blessing - Live,Kari Jobe,2020,rock,59
На север,шумные и угрожающие выходки,2020,rock,35
The Blessing,Kari Jobe,2020,rock,61
Храм,Лівінстон,2020,rock,33
Хованки,Tember Blanche,2020,rock,32
SUPERBLOOM,MisterWives,2020,rock,55
