Title,Artist,Year,Genre,Popularity,Formatted_Artist,Formatted_Title
Don't Let Me Down,Milky Chance,2020,rock,55,milky_chance,dont_let_me_down
Shooting Stars - in the Woods,Rival Sons,2020,rock,48,rival_sons,shooting_stars_in_the_woods
Pivo-Pivo-Pivo,KnyaZz,2020,rock,41,knyazz,pivopivopivo
Caution,The Killers,2020,rock,57,the_killers,caution
Kaufmann und Maid,Saltatio Mortis,2020,rock,52,saltatio_mortis,kaufmann_und_maid
Al'ternativa,Daite tank (!),2020,rock,43,daite_tank_,alternativa
Wildflowers & Wine,Marcus King,2020,rock,61,marcus_king,wildflowers_wine
Suicide Solution,Ozzy Osbourne,2020,rock,50,ozzy_osbourne,suicide_solution
One Of Us,Joan Osborne,2020,rock,52,joan_osborne,one_of_us
PHOENIX,BURNOUT SYNDROMES,2020,rock,57,burnout_syndromes,phoenix
Shot In The Dark,AC/DC,2020,rock,51,acdc,shot_in_the_dark
Move Me,Badflower,2020,rock,50,badflower,move_me
Miortvyi Gorod,Miortvye Del'finy,2020,rock,38,miortvye_delfiny,miortvyi_gorod
Di Liu Gan ,Reol,2020,rock,58,reol,di_liu_gan_
We Will Always Love You,The Avalanches,2020,rock,50,the_avalanches,we_will_always_love_you
Televised Mind,Fontaines D.C.,2020,rock,53,fontaines_dc,televised_mind
Goodbye to Romance,Ozzy Osbourne,2020,rock,51,ozzy_osbourne,goodbye_to_romance
Ptaha Fred,The Unsleeping,2020,rock,40,the_unsleeping,ptaha_fred
Suka viina!,Skriabin,2020,rock,39,skriabin,suka_viina
Shampans'ki ochi,Pianoboy,2020,rock,38,pianoboy,shampanski_ochi
Yan ,LiSA,2020,rock,61,lisa,yan_
Idol (feat. Tech N9ne),Hollywood Undead,2020,rock,52,hollywood_undead,idol_feat_tech_n9ne
Diadia Volodia,Pornofilmy,2020,rock,38,pornofilmy,diadia_volodia
Seni Dert Etmeler,Madrigal,2020,rock,68,madrigal,seni_dert_etmeler
I Want More,KALEO,2020,rock,49,kaleo,i_want_more
Zhivi bez ostatka,Noize MC,2020,rock,40,noize_mc,zhivi_bez_ostatka
Infinite,Silverstein,2020,rock,53,silverstein,infinite
Uzunlar - V1,Evdeki Saat,2020,rock,64,evdeki_saat,uzunlar_v1
January,Loving,2020,rock,53,loving,january
Do I Wanna Know? - Live,Arctic Monkeys,2020,rock,46,arctic_monkeys,do_i_wanna_know_live
With Arms Wide Open,Creed,2020,rock,52,creed,with_arms_wide_open
Kokoroyohou,Eve,2020,rock,53,eve,kokoroyohou
netoroplivaia liubov',Nochnye Snaipery,2020,rock,40,nochnye_snaipery,netoroplivaia_liubov
A Hero's Death,Fontaines D.C.,2020,rock,52,fontaines_dc,a_heros_death
Kozaki,Tin' Sontsia,2020,rock,38,tin_sontsia,kozaki
Pripustim,The Unsleeping,2020,rock,40,the_unsleeping,pripustim
Si Tu La Quieres,David Bisbal,2020,rock,65,david_bisbal,si_tu_la_quieres
"All For Love - From ""The Three Musketeers"" Soundtrack",Bryan Adams,2020,rock,48,bryan_adams,all_for_love_from_the_three_musketeers_soundtrack
Persefona,Vivienne Mort,2020,rock,38,vivienne_mort,persefona
"Peredaite eto Garri Potteru, esli vdrug ego vstretite",Splean,2020,rock,37,splean,peredaite_eto_garri_potteru_esli_vdrug_ego_vstretite
A Lucid Dream,Fontaines D.C.,2020,rock,50,fontaines_dc,a_lucid_dream
"Liar, Liar",The Castaways,2020,rock,44,the_castaways,liar_liar
Me & You Together Song,The 1975,2020,rock,57,the_1975,me_you_together_song
Chicken Tenders,Dominic Fike,2020,rock,56,dominic_fike,chicken_tenders
Ataka Mertvetsov,RADIO TAPOK,2020,rock,38,radio_tapok,ataka_mertvetsov
Oh Such A Spring,Fontaines D.C.,2020,rock,47,fontaines_dc,oh_such_a_spring
Blizzard,Erdling,2020,rock,41,erdling,blizzard
Piatnitsa,Dela Povazhnee,2020,rock,40,dela_povazhnee,piatnitsa
Booster Seat,Spacey Jane,2020,rock,66,spacey_jane,booster_seat
Nothing Compares 2 U,Chris Cornell,2020,rock,51,chris_cornell,nothing_compares_2_u
Ia delaiu shag,The Hatters,2020,rock,39,the_hatters,ia_delaiu_shag
You Said,Fontaines D.C.,2020,rock,48,fontaines_dc,you_said
On Fire,THE ROOP,2020,rock,38,the_roop,on_fire
Za sem'iu pechatiami,Splean,2020,rock,36,splean,za_semiu_pechatiami
Four Out Of Five - Live,Arctic Monkeys,2020,rock,43,arctic_monkeys,four_out_of_five_live
Why'd You Only Call Me When You're High? - Live,Arctic Monkeys,2020,rock,43,arctic_monkeys,whyd_you_only_call_me_when_youre_high_live
Ofeliia,Livinston,2020,rock,37,livinston,ofeliia
"1,000,000 TIMES feat. chelly (EGOIST)",MY FIRST STORY,2020,rock,51,my_first_story,1000000_times_feat_chelly_egoist
Nochnye Ved'my,RADIO TAPOK,2020,rock,38,radio_tapok,nochnye_vedmy
The Rush,JJ Wilde,2020,rock,44,jj_wilde,the_rush
Kokhannia,Pianoboy,2020,rock,37,pianoboy,kokhannia
"Today, Tomorrow and Forever",Sanctus Real,2020,rock,57,sanctus_real,today_tomorrow_and_forever
On The Road Again - Live,Willie Nelson,2020,rock,58,willie_nelson,on_the_road_again_live
Skazki,Daite tank (!),2020,rock,39,daite_tank_,skazki
My Own Soul's Warning,The Killers,2020,rock,55,the_killers,my_own_souls_warning
Comment est ta peine ?,Benjamin Biolay,2020,rock,48,benjamin_biolay,comment_est_ta_peine_
Memory I Don't Mess With,Lee Brice,2020,rock,71,lee_brice,memory_i_dont_mess_with
MIaTOI (Remix 2010),KOSMONAVTOV NET,2020,rock,37,kosmonavtov_net,miatoi_remix_2010
Klamstrakur,Hatari,2020,rock,32,hatari,klamstrakur
