Title,Artist,Year,Genre,Popularity,track_id
Wurli,Dominic Fike,2020,rock,60,162
Go West,Pet Shop Boys,2020,rock,52,163
Headless,Deftones,2020,rock,55,164
Urantia,Deftones,2020,rock,54,165
A Partir De Hoy,David Bisbal,2020,rock,69,166
Robbery,Lime Cordiale,2020,rock,62,167
Good Morning World!,BURNOUT SYNDROMES,2020,rock,57,168
Aries (feat. Peter Hook and Georgia),Gorillaz,2020,rock,54,169
Scars that I'm Hiding,From Ashes to New,2020,rock,54,170
The Champion,The Score,2020,rock,52,171
It’s All So Incredibly Loud,Glass Animals,2020,rock,52,172
If You’re Too Shy (Let Me Know),The 1975,2020,rock,63,173
Vans - King Kavalier Remix,Arrested Youth,2020,rock,46,174
At The Door,The Strokes,2020,rock,58,175
баночка с окурками,КОСМОНАВТОВ НЕТ,2020,rock,45,176
Lost Horse,Asaf Avidan,2020,rock,51,177
xXXi_wud_nvrstøp_ÜXXx (Remix) [feat. Tommy Cash & Hannah Diamond],100 gecs,2020,rock,44,178
Moral Panic,Nothing But Thieves,2020,rock,45,179
Hot Sugar,Glass Animals,2020,rock,54,180
I Don't Belong,Fontaines D.C.,2020,rock,54,181
Living In A Ghost Town,The Rolling Stones,2020,rock,48,182
On Track,Tame Impala,2020,rock,54,183
Eternal Summer,The Strokes,2020,rock,59,184
Glimmer,Tame Impala,2020,rock,54,185
Politics & Violence,Dominic Fike,2020,rock,59,186
Can't Help Falling in Love,Elvis Presley,2020,rock,54,187
Under The Table,Fiona Apple,2020,rock,53,188
She Wants Me (To Be Loved),The Happy Fits,2020,rock,57,189
Japanese Posters,Rebounder,2020,rock,56,190
Visions,Loving,2020,rock,57,191
Patience,Chris Cornell,2020,rock,52,192
Чужое горе,Pornofilmy,2020,rock,40,193
На Моей Луне,Мёртвые Дельфины,2020,rock,40,194
Blue,NewDad,2020,rock,49,195
Not The Same Anymore,The Strokes,2020,rock,58,196
Smoke You Out,Self Deception,2020,rock,50,197
Шанс,Дайте танк (!),2020,rock,43,198
Be Your Drug,Circa Waves,2020,rock,49,199
Шанс,Дайте танк (!),2020,rock,43,200
Be Your Drug,Circa Waves,2020,rock,49,201
Teenage Dirtbag (Acoustic),Wheatus,2020,rock,52,202
Can I Believe You,Fleet Foxes,2020,rock,54,203
unlasting,LiSA,2020,rock,56,204
Lamb's Wool,Foster The People,2020,rock,57,205
Come Here,Dominic Fike,2020,rock,53,206
BODY/PRISON,HEALTH,2020,rock,46,207
Уроки любви,Pornofilmy,2020,rock,40,208
Roll Me Up and Smoke Me When I Die - Live,Willie Nelson,2020,rock,61,209
Didn't I,OneRepublic,2020,rock,51,210
Inochi No Tabekata,Eve,2020,rock,54,211
Zen (with K.Flay & grandson),X Ambassadors,2020,rock,51,212
Double Negative (Skeleton Milkshake),Dominic Fike,2020,rock,57,213
Dark Days [Feat. Sylvan Esso],Local Natives,2020,rock,53,214
Break My Baby,KALEO,2020,rock,47,215
Wherever You Are,Kodaline,2020,rock,51,216
Money,Lime Cordiale,2020,rock,59,217
Suéltala,Jorge Luis Chacin,2020,rock,44,218
Shooting Stars - in the Woods,Rival Sons,2020,rock,48,219
Driving In Style,Thundermother,2020,rock,51,220
Пиво-Пиво-Пиво,KnyaZz,2020,rock,40,221
Don't Let Me Down,Milky Chance,2020,rock,54,222
The Well,Marcus King,2020,rock,57,223
Альтернатива,Дайте танк (!),2020,rock,42,224
Caution,The Killers,2020,rock,56,225
Kaufmann und Maid,Saltatio Mortis,2020,rock,52,226
Wake Up,Smash Into Pieces,2020,rock,48,227
One Of Us,Joan Osborne,2020,rock,52,228
Suicide Solution,Ozzy Osbourne,2020,rock,49,229
Мёртвый Город,Мёртвые Дельфины,2020,rock,38,230
Move Me,Badflower,2020,rock,49,231
PHOENIX,BURNOUT SYNDROMES,2020,rock,56,232
Wildflowers & Wine,Marcus King,2020,rock,61,233
第六感,Reol,2020,rock,57,234
Goodbye to Romance,Ozzy Osbourne,2020,rock,50,235
Ptaha Fred,The Unsleeping,2020,rock,40,236
Сука війна!,Скрябін,2020,rock,39,237
炎,LiSA,2020,rock,60,238
Televised Mind,Fontaines D.C.,2020,rock,52,239
I Want More,KALEO,2020,rock,49,240
Дядя Володя,Pornofilmy,2020,rock,37,241
Seni Dert Etmeler,Madrigal,2020,rock,67,242
Idol (feat. Tech N9ne),Hollywood Undead,2020,rock,51,243
Only She Knows,Loving,2020,rock,53,244
Шампанські очі,Pianoboy,2020,rock,38,245
Do I Wanna Know? - Live,Arctic Monkeys,2020,rock,46,246
Infinite,Silverstein,2020,rock,52,247
Again,Black Stone Cherry,2020,rock,50,248
Uzunlar - V1,Evdeki Saat,2020,rock,63,249
I Want To Know What Love Is - BLOND:ISH Sunrise Jungle Rework,Foreigner,2020,rock,49,250
Живи без остатка,Noize MC,2020,rock,39,251
With Arms Wide Open,Creed,2020,rock,51,252
Припустим,The Unsleeping,2020,rock,39,253
Can't Be Mine,Bad Nerves,2020,rock,45,254
Kokoroyohou,Eve,2020,rock,53,255
"All For Love - From ""The Three Musketeers"" Soundtrack",Bryan Adams,2020,rock,48,256
Козаки,Тінь Сонця,2020,rock,37,257
неторопливая любовь,Nochnye Snaipery,2020,rock,40,258
Si Tú La Quieres,David Bisbal,2020,rock,64,259
Персефона,Vivienne Mort,2020,rock,37,260
A Hero's Death,Fontaines D.C.,2020,rock,51,261
Conticinio,Guitarricadelafuente,2020,rock,58,262
"Передайте это Гарри Поттеру, если вдруг его встретите",Splean,2020,rock,36,263
"Liar, Liar",The Castaways,2020,rock,43,264
Me & You Together Song,The 1975,2020,rock,56,265
Chicken Tenders,Dominic Fike,2020,rock,55,266
Blizzard,Erdling,2020,rock,41,267
A Lucid Dream,Fontaines D.C.,2020,rock,49,268
Атака Мертвецов,RADIO TAPOK,2020,rock,37,269
Пятница,Дела Поважнее,2020,rock,40,270
За семью печатями,Splean,2020,rock,36,271
Я делаю шаг,The Hatters,2020,rock,39,272
You Said,Fontaines D.C.,2020,rock,47,273
Four Out Of Five - Live,Arctic Monkeys,2020,rock,43,274
"Today, Tomorrow and Forever",Sanctus Real,2020,rock,56,275
Why'd You Only Call Me When You're High? - Live,Arctic Monkeys,2020,rock,43,276
Oh Such A Spring,Fontaines D.C.,2020,rock,46,277
Nothing Compares 2 U,Chris Cornell,2020,rock,51,278
On Fire,THE ROOP,2020,rock,37,279
Ночные Ведьмы,RADIO TAPOK,2020,rock,37,280
Офелія,Лівінстон,2020,rock,36,281
The Rush,JJ Wilde,2020,rock,43,282
Booster Seat,Spacey Jane,2020,rock,65,283
We Could Start a War - EP Version,Somebody's Child,2020,rock,51,284
Кохання,Pianoboy,2020,rock,36,285
Сказки,Дайте танк (!),2020,rock,38,286
Memory I Don't Mess With,Lee Brice,2020,rock,70,287
On The Road Again - Live,Willie Nelson,2020,rock,57,288
My Own Soul’s Warning,The Killers,2020,rock,55,289
505 - Live,Arctic Monkeys,2020,rock,43,290
МЯТОЙ (Remix 2010),КОСМОНАВТОВ НЕТ,2020,rock,37,291
"1,000,000 TIMES feat. chelly (EGOIST)",MY FIRST STORY,2020,rock,50,292
Comment est ta peine ?,Benjamin Biolay,2020,rock,48,293
Tonight (Mousse T. Remix),Simply Red,2020,rock,45,294
VENT'ANNI,Måneskin,2020,rock,45,295
"If You Want To Sing Out, Sing Out",Yusuf / Cat Stevens,2020,rock,57,296
Crying Lightning - Live,Arctic Monkeys,2020,rock,42,297
Klámstrákur,Hatari,2020,rock,32,298
Caffeine,Kiro Akiyama,2020,rock,54,299
Бардак,Дайте танк (!),2020,rock,37,300
Закохані злодії,Kozak System,2020,rock,35,301
circle the drain,Soccer Mommy,2020,rock,55,302
Altüst Olmuşum,Mavi Gri,2020,rock,69,303
1999,NO CIGAR,2020,rock,54,304
Чорний Мольфар,Цвях,2020,rock,35,305
Knee Socks - Live,Arctic Monkeys,2020,rock,41,306
Ісус Із Назарета,Лінія Маннергейма,2020,rock,36,307
ないものねだり - Revenge THE FIRST TAKE,KANA-BOON,2020,rock,51,308
ゴールデンタイムラバー - 2020 Remaster,Sukima Switch,2020,rock,52,309
再会 (produced by Ayase),LiSA,2020,rock,59,310
"Така, як літо",Kozak System,2020,rock,34,311
Монстр,RADIO TAPOK,2020,rock,34,312
決戦スピリット,CHiCO with HoneyWorks,2020,rock,55,313
Your Girlfriend,Blossoms,2020,rock,57,314
Министр культуры,Голос Омерики,2020,rock,34,315
Guys,The 1975,2020,rock,52,316
Body Like A Back Road,Sam Hunt,2020,rock,70,317
NAN CHUN,SE SO NEON,2020,rock,55,318
Дыхаем зноў,J:МОРС,2020,rock,23,319
Sometimes,Kodaline,2020,rock,45,320
The Devil Went Down to Georgia,Nickelback,2020,rock,54,321
Ya No Mires Atrás,Luis Alberto Spinetta,2020,rock,51,322
Tonight (I Wish I Was Your Boy),The 1975,2020,rock,53,323
Pure 90 (Rapping Queen),Shaka Ponk,2020,rock,45,324
SPARK-AGAIN,Aimer,2020,rock,51,325
Помаленьку,Пирятин,2020,rock,34,326
Ding,Feuerschwanz,2020,rock,46,327
Moments / Tides,Goth Babe,2020,rock,55,328
Гора,The Hardkiss,2020,rock,32,329
There Is Still Pain Left - Laolu Remix,Sophie Hunger,2020,rock,46,330
Готика,Vivienne Mort,2020,rock,34,331
さよならごっこ,amazarashi,2020,rock,47,332
Only Children,Jason Isbell and the 400 Unit,2020,rock,49,333
L'hymne de nos campagnes 2019,Tryo,2020,rock,48,334
Left Me Like Summer,Daily J,2020,rock,55,335
Sonne,RADIO TAPOK,2020,rock,33,336
Нас догонит любовь,Pornofilmy,2020,rock,33,337
Arabella - Live,Arctic Monkeys,2020,rock,40,338
Окситоцин,Ницо Потворно,2020,rock,34,339
Владивосток 2000,Mumiy Troll,2020,rock,34,340
Maybe It's Ok,We Are Messengers,2020,rock,62,341
How Lucky,Kurt Vile,2020,rock,52,342
The Blessing - Live,Kari Jobe,2020,rock,59,343
На север,шумные и угрожающие выходки,2020,rock,35,344
The Blessing,Kari Jobe,2020,rock,61,345
Храм,Лівінстон,2020,rock,33,346
Хованки,Tember Blanche,2020,rock,32,347
SUPERBLOOM,MisterWives,2020,rock,55,348
On Me (feat. Ava Max),Thomas Rhett,2020,rock,51,349
R U Mine? - Live,Arctic Monkeys,2020,rock,39,350
Котики-Наркотики,Мёртвые Дельфины,2020,rock,31,351
Torch of Liberty,KANA-BOON,2020,rock,49,352
куда катится моя голова?,конец солнечных дней,2020,rock,35,353
Night Drive,Brother Firetribe,2020,rock,39,354
Тёплая китайская куртка,Голос Омерики,2020,rock,33,355
Де Твоя Лінія,Лінія Маннергейма,2020,rock,34,356
Старенький трамвай,Піккардійська терція,2020,rock,31,357
Bring on the Rain,Brother Firetribe,2020,rock,39,358
Невеста?,Mumiy Troll,2020,rock,32,359
Summer Wine,Alex Kapranos,2020,rock,38,360
Knockin' Boots,Luke Bryan,2020,rock,69,361
Озеро,Лінія Маннергейма,2020,rock,35,362
One Day She’s Here,Marcus King,2020,rock,52,363
Impossible (Orchestral Version) [Live at Abbey Road],Nothing But Thieves,2020,rock,47,364
Профессионал,Дайте танк (!),2020,rock,35,365
Фантом,RADIO TAPOK,2020,rock,33,366
Spillingardans,Hatari,2020,rock,30,367
Famous For (I Believe),Tauren Wells,2020,rock,59,368
Welcome To The Jungle,Guns N' Roses,2020,rock,43,369
One Of Them Girls,Lee Brice,2020,rock,64,370
Клюква (Remix),Грязь,2020,rock,32,371
Жалі,Jamala,2020,rock,30,372
Пекло,[Би-2],2020,rock,32,373
Lost,Somebody's Child,2020,rock,46,374
Лучшее,Дайте танк (!),2020,rock,34,375
Impossible,Nothing But Thieves,2020,rock,42,376
В ставку кораблі,Курган & Agregat,2020,rock,31,377
Прибой,shit shit shit!,2020,rock,34,378
Inappropriate Behaviour,Lime Cordiale,2020,rock,57,379
De libertate,Stereopalto,2020,rock,32,380
авиарежим,Nochnye Snaipery,2020,rock,33,381
Вітчизна,Pianoboy,2020,rock,30,382
Медведица,Mumiy Troll,2020,rock,32,383
Wings,So!YoON!,2020,rock,57,384
Tu Carcel - En Vivo,Los Enanitos Verdes,2020,rock,61,385
26.04,Noize MC,2020,rock,31,386
Про Орков,Fun Mode,2020,rock,32,387
Where We're Going,Gerry Cinnamon,2020,rock,59,388
Chill Out,Anthony B,2020,rock,46,389
History of Violence,Theory of a Deadman,2020,rock,48,390
Paradise City,Guns N' Roses,2020,rock,41,391
