Title,Artist,Year,Genre,Popularity
Zapishu svoio serdtse na sektsiiu plavan'ia,Gradusy,2020,rock,27
Nuzhno chto-to meniat',Blondinka KsU,2020,rock,25
Thinking 'Bout You (feat. Lauren Alaina),Dustin Lynch,2020,rock,62
Hua Shen ,POLKADOT STINGRAY,2020,rock,44
Pil,Livinston,2020,rock,26
Sered Tinei,VII,2020,rock,28
Feel Invincible,RADIO TAPOK,2020,rock,28
Psycho Killer,Talking Heads,2020,rock,51
Barbar,Kaan Bosnak,2020,rock,59
kholoda,konets solnechnykh dnei,2020,rock,28
'Til I Found You,Jeremy Loops,2020,rock,36
Cold Beer Calling My Name,Jameson Rodgers,2020,rock,58
Banks,NEEDTOBREATHE,2020,rock,57
Troja,In Extremo,2020,rock,42
No Place Left to Leave,Brent Cobb,2020,rock,50
Molchanie iagniat,Louna,2020,rock,24
Do sertsia,Fiolet,2020,rock,24
O Bi Karamel,Ozbi,2020,rock,60
Werewolf UA,Sasha Boole,2020,rock,24
Antiaereo,Arde Bogota,2020,rock,60
kaliforniia,shit shit shit!,2020,rock,27
You Keep Hope Alive,Mandisa,2020,rock,53
Battle Belongs,Phil Wickham,2020,rock,52
Infinity,Ocean Alley,2020,rock,50
Vse shcho tebe ne vbivaie,Pianoboy,2020,rock,23
Sun Queen,Gerry Cinnamon,2020,rock,56
